"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant"
"ENSG00000274642.1","ENSG00000274642.1",215.677908172978,0.453943502128394,0.170272954031758,2.66597537295164,0.00767653161252994,0.0237386882001857,"ENSG00000274642",TRUE
"ENSG00000267871.6","ZNF460-AS1",70.69379797688,0.678439585261228,0.254496788614208,2.66580804007581,0.00768035334733126,0.0237469593456139,"ENSG00000267871",TRUE
"ENSG00000224545.1","RPL31P36",14.7954287922814,1.44175163039276,0.540942126054275,2.66526040578342,0.00769287275547074,0.0237815345611422,"ENSG00000224545",TRUE
"ENSG00000276627.3","ENSG00000276627.3",6.18026850951047,2.4250583835719,0.909909712431557,2.66516375244683,0.00769508423478353,0.023784041973351,"ENSG00000276627",TRUE
"ENSG00000274403.1","ENSG00000274403.1",34.5774264274124,0.934224444897588,0.350634930204436,2.66437928575141,0.00771305433535316,0.0238352465123068,"ENSG00000274403",TRUE
"ENSG00000189420.9","ZFP92",3.33145796536306,3.7697172144302,1.41519682411503,2.66374058377889,0.00772771310888158,0.0238783734087592,"ENSG00000189420",TRUE
"ENSG00000231382.1","NBPF21P",5.42605899473421,2.63859093239934,0.990675038833503,2.66342728843377,0.00773491263581529,0.0238962721612891,"ENSG00000231382",TRUE
"ENSG00000186318.18","BACE1",1091.71934835044,0.334469013994179,0.12560529824328,2.66285752808262,0.00774802113512747,0.0239324162878976,"ENSG00000186318",TRUE
"ENSG00000172803.18","SNX32",90.7654904366604,0.617836439438639,0.232107903144002,2.66185007520113,0.00777124837093235,0.0240019789656147,"ENSG00000172803",TRUE
"ENSG00000279103.1","ENSG00000279103.1",41.7128742097406,0.805003952197469,0.302444760699596,2.66165613295924,0.00777572694297843,0.0240136278569953,"ENSG00000279103",TRUE
"ENSG00000241231.2","ENSG00000241231.2",21.3926218651601,1.1899109613833,0.447128498184192,2.66122818432638,0.00778561744281131,0.0240398012269262,"ENSG00000241231",TRUE
